,,,,
Plan name:,ORACLE CORPORATION  ,,,
Date Range,05/01/2015 - 05/18/2017,,,
,,,,
,,,,
Date,Investment,Transaction Type,Amount,Shares/Unit
11/17/2017,VANG 500 INDEX TRUST,CONTRIBUTION,"479.03","4.806"
11/07/2017,VANG TOTAL BOND MKT,Exchange In,"10,390.94","103.909"
11/07/2017,VANG TOT INTL STK TR,Exchange In,"2,883.83","28.838"
11/07/2017,VANG TOT INTL STK IP,Exchange Out,"-2,883.83","-23.984"
11/07/2017,VANG TOT INTL STK IP,Change In Market Value,"499.30","0.000"
11/07/2017,VANG TOT BD MK IS PL,Exchange Out,"-10,390.94","-962.124"
11/07/2017,VANG TOT BD MK IS PL,DIVIDEND,"5.06","0.468"
11/07/2017,VANG TOT BD MK IS PL,Change In Market Value,"132.36","0.000"
11/07/2017,VANG INST INDEX PLUS,Exchange Out,"-18,780.10","-79.479"
11/07/2017,VANG INST INDEX PLUS,Change In Market Value,"2,467.50","0.000"
11/07/2017,VANG EXT MKT IDX TR,Exchange In,"2,727.87","27.279"
11/07/2017,VANG EXT MKT IDX ISP,Exchange Out,"-2,727.87","-13.509"
11/07/2017,VANG EXT MKT IDX ISP,Change In Market Value,"515.33","0.000"
11/07/2017,VANG 500 INDEX TRUST,Exchange In,"18,780.10","187.801"
11/03/2017,VANG INST INDEX PLUS,CONTRIBUTION,"479.03","2.030"
10/31/2017,VANG TOT BD MK IS PL,DIVIDEND,"22.26","2.067"
10/17/2017,VANG INST INDEX PLUS,CONTRIBUTION,"479.03","2.053"
10/04/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.884"
09/29/2017,VANG TOT BD MK IS PL,DIVIDEND,"21.59","2.003"
09/21/2017,VANG INST INDEX PLUS,DIVIDEND,"88.77","0.390"
09/19/2017,VANG TOT INTL STK IP,DIVIDEND,"15.57","0.132"
09/19/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.898"
09/19/2017,VANG EXT MKT IDX ISP,DIVIDEND,"7.36","0.037"
09/05/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.937"
08/31/2017,VANG TOT BD MK IS PL,DIVIDEND,"22.20","2.044"
08/17/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.961"
08/02/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.927"
07/31/2017,VANG TOT BD MK IS PL,DIVIDEND,"21.85","2.025"
07/18/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.941"
07/05/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.964"
06/30/2017,VANG TOT BD MK IS PL,DIVIDEND,"21.51","1.997"
06/22/2017,VANG INST INDEX PLUS,DIVIDEND,"60.24","0.272"
06/20/2017,VANG TOT INTL STK IP,DIVIDEND,"28.46","0.256"
06/20/2017,VANG EXT MKT IDX ISP,DIVIDEND,"7.17","0.037"
06/19/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.940"
06/02/2017,VANG INST INDEX PLUS,CONTRIBUTION,"435.48","1.953"
05/31/2017,VANG TOT BD MK IS PL,DIVIDEND,"21.93","2.033"
05/17/2017,VANG INST INDEX PLUS,CONTRIBUTION,426.93,1.983
05/02/2017,VANG INST INDEX PLUS,CONTRIBUTION,416.67,1.911
04/28/2017,VANG TOT BD MK IS PL,DIVIDEND,21.28,1.981
04/18/2017,VANG INST INDEX PLUS,CONTRIBUTION,416.67,1.952
04/04/2017,VANG INST INDEX PLUS,CONTRIBUTION,416.67,1.939
03/31/2017,VANG TOT BD MK IS PL,DIVIDEND,22.14,2.073
03/28/2017,VANG INST INDEX PLUS,DIVIDEND,51.47,0.239
03/23/2017,VANG TOT INTL STK IP,DIVIDEND,8.35,0.079
03/23/2017,VANG EXT MKT IDX ISP,DIVIDEND,7.54,0.041
03/17/2017,VANG INST INDEX PLUS,CONTRIBUTION,416.67,1.916
03/02/2017,VANG INST INDEX PLUS,CONTRIBUTION,416.67,1.914
02/28/2017,VANG TOT BD MK IS PL,DIVIDEND,13.88,1.296
02/17/2017,VANG TOT BD MK IS PL,CONTRIBUTION,416.67,39.051
02/16/2017,VANG TOT BD MK IS PL,Exchange In,4971.57,466.377
02/16/2017,VANG INST INDEX PLUS,Exchange Out,-4971.57,-23.198
02/16/2017,VANG INST INDEX PLUS,Change In Market Value,521,0
02/02/2017,VANG TOT INTL STK IP,CONTRIBUTION,62.5,0.607
02/02/2017,VANG INST INDEX PLUS,CONTRIBUTION,250,1.203
02/02/2017,VANG EXT MKT IDX ISP,CONTRIBUTION,104.17,0.569
01/31/2017,VANG TOT INTL STK IP,Exchange In,897.57,8.766
01/31/2017,VANG TOT BD MK IS PL,Exchange In,4676.64,438.709
01/31/2017,VANG INST INDEX PLUS,Exchange Out,-3838.09,-18.479
01/31/2017,VANG INST INDEX PLUS,Change In Market Value,298.12,0
01/31/2017,VANG EXT MKT IDX ISP,Exchange Out,-1736.12,-9.472
01/31/2017,VANG EXT MKT IDX ISP,Change In Market Value,195.26,0
01/18/2017,VANG INST INDEX PLUS,CONTRIBUTION,416.67,2.013
01/04/2017,VANG INST INDEX PLUS,CONTRIBUTION,416.67,2.014
12/23/2016,VANG INST INDEX PLUS,DIVIDEND,151.28,0.734
12/21/2016,VANG EXT MKT IDX ISP,DIVIDEND,22.63,0.125
12/20/2016,VANG TOT INTL STK IP,REVENUE CREDIT,0.06,0.001
12/20/2016,VANG INST INDEX PLUS,REVENUE CREDIT,1.13,0.005
12/20/2016,VANG EXT MKT IDX ISP,REVENUE CREDIT,0.26,0.002
12/19/2016,VANG TOT INTL STK IP,DIVIDEND,11.92,0.122
12/19/2016,VANG INST INDEX PLUS,CONTRIBUTION,416.67,2.006
12/02/2016,VANG INST INDEX PLUS,CONTRIBUTION,416.67,2.073
11/17/2016,VANG INST INDEX PLUS,CONTRIBUTION,416.67,2.079
11/03/2016,VANG INST INDEX PLUS,CONTRIBUTION,416.67,2.18
10/18/2016,VANG INST INDEX PLUS,CONTRIBUTION,416.67,2.13
10/04/2016,VANG INST INDEX PLUS,CONTRIBUTION,375,1.908
09/19/2016,VANG INST INDEX PLUS,CONTRIBUTION,375,1.92
09/16/2016,VANG INST INDEX PLUS,DIVIDEND,69.79,0.357
09/12/2016,VANG TOT INTL STK IP,DIVIDEND,8.31,0.082
09/12/2016,VANG EXT MKT IDX ISP,DIVIDEND,12.7,0.076
09/07/2016,VANG INST INDEX PLUS,CONTRIBUTION,375,1.869
08/17/2016,VANG INST INDEX PLUS,CONTRIBUTION,375,1.875
08/04/2016,VANG INST INDEX PLUS,CONTRIBUTION,375,1.893
07/19/2016,VANG INST INDEX PLUS,CONTRIBUTION,375,1.895
07/06/2016,VANG INST INDEX PLUS,CONTRIBUTION,625,3.255
07/05/2016,VANGUARD TARGET 2050,Exchange Out,-266.78,-9.25
07/05/2016,VANGUARD TARGET 2050,Change In Market Value,1.47,0
07/05/2016,VANG INST INDEX PLUS,Exchange In,340.88,1.785
07/05/2016,FID GROWTH CO POOL,Exchange Out,-74.1,-5.985
07/05/2016,FID GROWTH CO POOL,Change In Market Value,-0.9,0
06/21/2016,VANG INST INDEX PLUS,CONTRIBUTION,625,3.275
06/20/2016,VANG EXT MKT IDX ISP,DIVIDEND,9.39,0.059
06/16/2016,VANG INST INDEX PLUS,DIVIDEND,47.26,0.249
06/13/2016,VANG TOT INTL STK IP,DIVIDEND,16.05,0.17
06/02/2016,VANG INST INDEX PLUS,CONTRIBUTION,625,3.238
05/18/2016,VANG INST INDEX PLUS,CONTRIBUTION,375,1.999
05/03/2016,VANG INST INDEX PLUS,CONTRIBUTION,375,1.987
04/19/2016,VANG INST INDEX PLUS,CONTRIBUTION,625,3.255
04/04/2016,VANG INST INDEX PLUS,CONTRIBUTION,625,3.312
03/18/2016,VANG EXT MKT IDX ISP,DIVIDEND,12.97,0.085
03/17/2016,VANG INST INDEX PLUS,CONTRIBUTION,625,3.355
03/16/2016,VANG INST INDEX PLUS,DIVIDEND,33.21,0.18
03/14/2016,VANG TOT INTL STK IP,DIVIDEND,4.34,0.046
03/02/2016,VANG INST INDEX PLUS,CONTRIBUTION,625,3.432
02/17/2016,VANG INST INDEX PLUS,CONTRIBUTION,625,3.541
02/03/2016,VANG TOT INTL STK IP,CONTRIBUTION,187.5,2.086
02/03/2016,VANG INST INDEX PLUS,CONTRIBUTION,250,1.429
02/03/2016,VANG EXT MKT IDX ISP,CONTRIBUTION,187.5,1.336
01/21/2016,VANG TOT INTL STK IP,CONTRIBUTION,162.5,1.881
01/21/2016,VANG INST INDEX PLUS,CONTRIBUTION,216.67,1.269
01/21/2016,VANG EXT MKT IDX ISP,CONTRIBUTION,162.5,1.179
01/06/2016,VANG INST INDEX PLUS,CONTRIBUTION,150,0.825
01/06/2016,VANG EXT MKT IDX ISP,CONTRIBUTION,150,0.988
01/06/2016,FID GROWTH CO POOL,CONTRIBUTION,75,5.985
12/21/2015,VANGUARD TARGET 2050,REVENUE CREDIT,0.02,0.001
12/21/2015,VANG TOT INTL STK IP,REVENUE CREDIT,0.05,0.001
12/21/2015,VANG INST INDEX PLUS,REVENUE CREDIT,0.41,0.002
12/21/2015,VANG EXT MKT IDX ISP,REVENUE CREDIT,0.27,0.002
12/18/2015,VANG TOT INTL STK IP,DIVIDEND,6.82,0.072
12/18/2015,VANG TOT INTL STK IP,CONTRIBUTION,75,0.786
12/18/2015,VANG INST INDEX PLUS,DIVIDEND,24.41,0.133
12/18/2015,VANG INST INDEX PLUS,CONTRIBUTION,150,0.819
12/18/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,150,0.973
12/16/2015,VANG EXT MKT IDX ISP,DIVIDEND,13.3,0.084
12/03/2015,VANG TOT INTL STK IP,CONTRIBUTION,75,0.753
12/03/2015,VANG INST INDEX PLUS,CONTRIBUTION,150,0.798
12/03/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,150,0.933
11/18/2015,VANGUARD TARGET 2050,CONTRIBUTION,50,1.735
11/18/2015,VANG TOT INTL STK IP,CONTRIBUTION,100,1
11/18/2015,VANG INST INDEX PLUS,CONTRIBUTION,175,0.916
11/18/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,175,1.081
11/04/2015,VANGUARD TARGET 2050,CONTRIBUTION,50,1.716
11/04/2015,VANG TOT INTL STK IP,CONTRIBUTION,100,0.983
11/04/2015,VANG INST INDEX PLUS,CONTRIBUTION,175,0.909
11/04/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,175,1.064
10/21/2015,VANGUARD TARGET 2050,CONTRIBUTION,37.5,1.317
10/21/2015,VANG TOT INTL STK IP,CONTRIBUTION,75,0.742
10/21/2015,VANG INST INDEX PLUS,CONTRIBUTION,131.25,0.711
10/21/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,131.25,0.828
10/12/2015,VANGUARD TARGET 2050,Exchange Out,-127.79,-2.751
10/12/2015,VANGUARD TARGET 2050,Exchange In,127.79,4.481
10/12/2015,VANGUARD TARGET 2050,Change In Market Value,2.79,0
10/12/2015,VANG TOT INTL STK IS,Exchange Out,-549.53,-5.42
10/12/2015,VANG TOT INTL STK IS,Change In Market Value,5.84,0
10/12/2015,VANG TOT INTL STK IP,Exchange In,549.53,5.419
10/05/2015,VANGUARD TARGET 2050,CONTRIBUTION,62.5,1.371
10/05/2015,VANG TOT INTL STK IS,CONTRIBUTION,125,1.267
10/05/2015,VANG INST INDEX PLUS,CONTRIBUTION,218.75,1.205
10/05/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,218.75,1.381
09/24/2015,VANG TOT INTL STK IS,DIVIDEND,2.03,0.022
09/22/2015,VANG EXT MKT IDX ISP,DIVIDEND,16.04,0.101
09/21/2015,VANGUARD TARGET 2050,CONTRIBUTION,62.5,1.38
09/21/2015,VANG TOT INTL STK IS,CONTRIBUTION,125,1.274
09/21/2015,VANG INST INDEX PLUS,CONTRIBUTION,218.75,1.218
09/21/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,218.75,1.349
09/18/2015,VANG INST INDEX PLUS,DIVIDEND,15.42,0.086
09/02/2015,VANG TOT INTL STK IS,CONTRIBUTION,108.33,1.11
09/02/2015,VANG INST INDEX PLUS,CONTRIBUTION,216.67,1.212
09/02/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,216.67,1.353
08/19/2015,VANG TOT INTL STK IS,CONTRIBUTION,108.33,1.045
08/19/2015,VANG INST INDEX PLUS,CONTRIBUTION,216.67,1.137
08/19/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,216.67,1.281
08/04/2015,VANG TOT INTL STK IS,CONTRIBUTION,75,0.702
08/04/2015,VANG INST INDEX PLUS,CONTRIBUTION,150,0.783
08/04/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,150,0.877
07/20/2015,VANG INST INDEX PLUS,CONTRIBUTION,187.5,0.963
07/20/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,187.5,1.08
07/06/2015,VANG INST INDEX PLUS,CONTRIBUTION,583.33,3.086
07/06/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,583.34,3.394
06/23/2015,VANGUARD TARGET 2060,Exchange Out,-1674.93,-56.528
06/23/2015,VANGUARD TARGET 2060,Change In Market Value,16.6,0
06/23/2015,VANG INST INDEX PLUS,Exchange In,1674.93,8.634
06/17/2015,VANGUARD TARGET 2060,CONTRIBUTION,700,23.965
06/17/2015,VANG EXT MKT IDX ISP,CONTRIBUTION,466.67,2.666
06/02/2015,VANGUARD TARGET 2060,CONTRIBUTION,958.33,32.563
